warehouse_id,customer_id,product_id,shipping_cost,distance_km,delivery_time_days
WH_AFRICA,CUST_10108,PROD_1004,106.81,2420.23,3
WH_AFRICA,CUST_10108,PROD_1014,103.31,2420.23,3
WH_AFRICA,CUST_10108,PROD_1073,104.81,2420.23,3
WH_AFRICA,CUST_10108,PROD_116,103.26,2420.23,3
WH_AFRICA,CUST_10108,PROD_191,103.81,2420.23,3
WH_AFRICA,CUST_10108,PROD_365,103.41,2420.23,3
WH_AFRICA,CUST_10108,PROD_403,104.11,2420.23,3
WH_AFRICA,CUST_10108,PROD_502,103.31,2420.23,3
WH_AFRICA,CUST_10108,PROD_565,103.51,2420.23,3
WH_AFRICA,CUST_10108,PROD_627,103.21,2420.23,3
WH_AFRICA,CUST_10108,PROD_957,105.81,2420.23,3
WH_AFRICA,CUST_10108,PROD_977,103.11,2420.23,3
WH_AFRICA,CUST_1011,PROD_1004,84.96,1924.01,2
WH_AFRICA,CUST_1011,PROD_1014,81.46,1924.01,2
WH_AFRICA,CUST_1011,PROD_1073,82.96,1924.01,2
WH_AFRICA,CUST_1011,PROD_116,81.41,1924.01,2
WH_AFRICA,CUST_1011,PROD_191,81.96,1924.01,2
WH_AFRICA,CUST_1011,PROD_365,81.56,1924.01,2
WH_AFRICA,CUST_1011,PROD_403,82.26,1924.01,2
WH_AFRICA,CUST_1011,PROD_502,81.46,1924.01,2
WH_AFRICA,CUST_1011,PROD_565,81.66,1924.01,2
WH_AFRICA,CUST_1011,PROD_627,81.36,1924.01,2
WH_AFRICA,CUST_1011,PROD_957,83.96,1924.01,2
WH_AFRICA,CUST_1011,PROD_977,81.26,1924.01,2
WH_AFRICA,CUST_10129,PROD_1004,66.11,1452.78,2
WH_AFRICA,CUST_10129,PROD_1014,62.61,1452.78,2
WH_AFRICA,CUST_10129,PROD_1073,64.11,1452.78,2
WH_AFRICA,CUST_10129,PROD_116,62.56,1452.78,2
WH_AFRICA,CUST_10129,PROD_191,63.11,1452.78,2
WH_AFRICA,CUST_10129,PROD_365,62.71,1452.78,2
WH_AFRICA,CUST_10129,PROD_403,63.41,1452.78,2
WH_AFRICA,CUST_10129,PROD_502,62.61,1452.78,2
WH_AFRICA,CUST_10129,PROD_565,62.81,1452.78,2
WH_AFRICA,CUST_10129,PROD_627,62.51,1452.78,2
WH_AFRICA,CUST_10129,PROD_957,65.11,1452.78,2
WH_AFRICA,CUST_10129,PROD_977,62.41,1452.78,2
WH_AFRICA,CUST_10591,PROD_1004,80.99,1824.67,2
WH_AFRICA,CUST_10591,PROD_1014,77.49,1824.67,2
WH_AFRICA,CUST_10591,PROD_1073,78.99,1824.67,2
WH_AFRICA,CUST_10591,PROD_116,77.44,1824.67,2
WH_AFRICA,CUST_10591,PROD_191,77.99,1824.67,2
WH_AFRICA,CUST_10591,PROD_365,77.59,1824.67,2
WH_AFRICA,CUST_10591,PROD_403,78.29,1824.67,2
WH_AFRICA,CUST_10591,PROD_502,77.49,1824.67,2
WH_AFRICA,CUST_10591,PROD_565,77.69,1824.67,2
WH_AFRICA,CUST_10591,PROD_627,77.39,1824.67,2
WH_AFRICA,CUST_10591,PROD_957,79.99,1824.67,2
WH_AFRICA,CUST_10591,PROD_977,77.29,1824.67,2
WH_AFRICA,CUST_11048,PROD_1004,84.03,1900.75,2
WH_AFRICA,CUST_11048,PROD_1014,80.53,1900.75,2
WH_AFRICA,CUST_11048,PROD_1073,82.03,1900.75,2
WH_AFRICA,CUST_11048,PROD_116,80.48,1900.75,2
WH_AFRICA,CUST_11048,PROD_191,81.03,1900.75,2
WH_AFRICA,CUST_11048,PROD_365,80.63,1900.75,2
WH_AFRICA,CUST_11048,PROD_403,81.33,1900.75,2
WH_AFRICA,CUST_11048,PROD_502,80.53,1900.75,2
WH_AFRICA,CUST_11048,PROD_565,80.73,1900.75,2
WH_AFRICA,CUST_11048,PROD_627,80.43,1900.75,2
WH_AFRICA,CUST_11048,PROD_957,83.03,1900.75,2
WH_AFRICA,CUST_11048,PROD_977,80.33,1900.75,2
WH_AFRICA,CUST_11065,PROD_1004,71.23,1580.72,2
WH_AFRICA,CUST_11065,PROD_1014,67.73,1580.72,2
WH_AFRICA,CUST_11065,PROD_1073,69.23,1580.72,2
WH_AFRICA,CUST_11065,PROD_116,67.68,1580.72,2
WH_AFRICA,CUST_11065,PROD_191,68.23,1580.72,2
WH_AFRICA,CUST_11065,PROD_365,67.83,1580.72,2
WH_AFRICA,CUST_11065,PROD_403,68.53,1580.72,2
WH_AFRICA,CUST_11065,PROD_502,67.73,1580.72,2
WH_AFRICA,CUST_11065,PROD_565,67.93,1580.72,2
WH_AFRICA,CUST_11065,PROD_627,67.63,1580.72,2
WH_AFRICA,CUST_11065,PROD_957,70.23,1580.72,2
